control_number,n_lines,n_taxa,n_class,n_species,qty_total,value_total,value_missing,taxa,country_origin,country_imp_exp,port,purpose,source,year,month,target
2000716421,1,1,1,1,1,10,0,reptile,GB,GB,NY,P,W,2000,3,1
2000716570,5,1,1,4,1637,2513,0,insect,XX,CA,CH,T,W,2000,2,1
2000716759,2,1,1,1,100,2500,0,reptile,BR,BR,MI,T,F,2000,3,1
2000716760,2,1,1,2,2,120,0,spider,XX,PH,AN,T,W,2000,3,1
2000716762,1,1,1,1,1,116,0,shell,HK,HK,AN,T,W,2000,3,1
2000716911,1,1,1,1,11598,69880,0,mammal,NZ,NZ,LA,T,C,2000,1,0
2000717221,2,1,1,2,14,140,0,mammal,FI,KR,SF,T,W,2000,1,0
2000717238,1,1,1,1,28,560,0,reptile,PY,CN,SF,T,W,2000,1,0
2000717245,1,1,1,1,6,120,0,crustacean,FM,FM,AG,P,W,2000,3,1
2000717251,2,1,1,2,8,681,0,reptile,XX,IT,NY,T,U,2000,4,1
2000717430,1,1,1,1,1600,5480,0,shell,HK,HK,SF,T,W,2000,1,0
2000717533,3,2,2,3,3,2333,0,mammal,ZW,ZA,AT,non-standard value,W,2000,1,0
2000717658,1,1,0,1,1916,6537,0,shell,IN,IN,AT,T,W,2000,1,0
2000717666,3,2,3,3,14,966,0,shell,PH,PH,AT,T,W,2000,1,0
2000717699,1,1,0,1,46,100,0,shell,PH,PH,AN,T,W,2000,4,1
2000717719,1,1,1,1,4,120,0,mammal,XX,IN,AN,T,W,2000,3,1
2000717722,1,1,1,1,2,126,0,coral,XX,JP,AN,T,W,2000,4,1
2000717736,1,1,1,1,2349,30861,0,mammal,NZ,NZ,LA,T,W,2000,3,0
2000718091,1,1,1,1,1400,315,0,shell,PH,PH,HA,T,W,2000,2,0
2000718111,1,1,0,1,23,0,0,fish,XX,ZA,HA,non-standard value,W,2000,1,0
2000718135,2,2,2,2,2,35,0,bird,XX,MX,NG,T,W,2000,3,1
2000718167,1,1,1,1,2,0,0,reptile,XX,MX,EL,P,W,2000,2,1
2000718403,2,1,1,2,10,2305,0,reptile,AU,IT,NY,T,W,2000,1,0
2000718442,2,1,1,2,2,0,0,mammal,XX,XX,MI,P,W,2000,7,1
2000718505,1,1,1,1,500,1,0,shell,JP,HK,AN,T,W,2000,4,1
2000718786,1,1,1,1,587,2713,0,fish,MW,MW,NY,T,W,2000,1,0
2000718826,1,1,1,1,22,278,0,shell,ID,CH,NY,T,W,2000,1,0
2000719180,1,1,1,1,16375,322,0,fish,TT,TT,NY,T,W,2000,1,0
2000719187,1,1,1,1,4786,14924,0,shell,PH,PH,AG,T,W,2000,1,0
2000719356,1,1,1,1,22400,3689,0,fish,SG,SG,NY,T,W,2000,1,0
2000719373,1,1,1,1,9055,3374,0,fish,TH,TH,NY,T,W,2000,1,0
2000719551,1,1,1,1,295,8859,0,reptile,ID,SG,NY,T,W,2000,1,0
2000719837,1,1,1,1,682,13443,0,mammal,PT,PT,NY,T,W,2000,1,0
2000719874,4,1,1,4,737,665,0,bird,GB,BE,NY,T,W,2000,1,0
2000719876,1,1,1,1,6,500,0,reptile,CM,FR,NY,T,W,2000,1,0
2000719943,5,1,1,2,67,4099,0,reptile,TH,IT,NY,T,W,2000,3,1
2000720020,1,1,1,1,5557,3131,0,fish,CO,CO,NY,,W,2000,1,0
2000720070,1,1,1,1,2,45,0,reptile,TH,TH,HA,P,W,2000,4,1
2000720180,1,1,1,1,11707,4497,0,fish,TT,TT,NY,,W,2000,1,0
2000720184,2,1,1,2,4,13330,0,mammal,DK,IT,NY,T,W,2000,1,0
2000720200,1,1,1,1,807,4148,0,shell,TH,TH,SF,T,W,2000,1,0
2000720535,1,1,1,1,9,135,0,mammal,XX,XX,HA,P,W,2000,4,1
2000720550,2,2,1,2,1389,1288,0,fish,PH,PH,NY,T,W,2000,1,0
2000720616,1,1,1,1,14483,3117,0,fish,TH,TH,SF,T,W,2000,1,0
2000720622,2,2,1,2,3010,2134,0,fish,PH,PH,SF,T,W,2000,1,0
2000720660,1,1,1,1,20225,7042,0,fish,CN,CN,SF,T,W,2000,1,0
2000720680,1,1,1,1,3215,92933,0,shell,JP,HK,NY,T,W,2000,1,0
2000720700,4,4,2,4,1546,934,0,crustacean,PH,PH,SF,T,W,2000,1,0
2000720707,1,1,1,1,2280,37924,0,mammal,US,IT,NY,T,W,2000,2,0
2000720726,1,1,1,1,7391,1919,0,fish,TH,TH,NY,T,W,2000,2,0
2000720805,4,1,1,1,9,5094,0,reptile,US,IT,SF,T,W,2000,1,0
2000720810,1,1,1,1,1607,592,0,shell,HK,HK,SF,T,W,2000,1,0
2000720811,10,1,1,10,23,3853,0,mammal,ZA,ZA,SF,T,W,2000,1,0
2000720841,1,1,1,1,3,3500,0,fish,XX,RU,NY,T,W,2000,4,1
2000720864,1,1,1,1,3,30,0,shell,JP,HK,SF,T,W,2000,1,0
2000720897,1,1,1,1,8,11,0,shell,HK,HK,SF,T,W,2000,1,0
2000720936,4,1,1,4,5,150,0,mammal,ZA,ZA,SF,non-standard value,W,2000,1,0
2000720954,1,1,1,1,200,360,0,insect,MY,MY,LA,non-standard value,W,2000,1,0
2000720979,1,1,1,1,13299,3697,0,fish,SG,SG,LA,T,W,2000,1,0
2000721001,2,2,2,2,2,1545,0,mammal,ID,AU,LA,non-standard value,C,2000,1,0
2000721018,1,1,1,1,5,4520,0,mammal,FI,HK,SF,T,W,2000,1,0
2000721035,3,1,1,3,24,13,0,shell,PH,PH,LA,T,W,2000,1,0
2000721039,1,1,1,1,1,875,0,mammal,HK,HK,SF,T,W,2000,1,0
2000721041,1,1,1,1,3,34,0,shell,HK,HK,SF,T,W,2000,1,0
2000721045,14,3,2,13,1676,7972,0,coral,ID,ID,LA,T,W,2000,1,0
2000721048,1,1,1,1,720,115,0,shell,CN,HK,SF,T,W,2000,1,0
2000721083,1,1,1,1,262,504,0,shell,TH,TH,SF,T,W,2000,1,0
2000721091,1,1,1,1,2,563,0,mammal,FI,KR,SF,T,W,2000,1,0
2000721094,1,1,1,1,159,398,0,shell,CN,HK,SF,T,W,2000,1,0
2000721101,1,1,1,1,21,514,0,shell,JP,HK,SF,T,W,2000,1,0
2000721111,1,1,1,1,1154,2047,0,shell,TH,TH,SF,T,W,2000,1,0
2000721167,1,1,1,1,8,96,0,shell,CN,HK,SF,T,W,2000,1,0
2000721231,1,1,1,1,140,350,0,shell,CN,HK,SF,T,W,2000,1,0
2000721236,1,1,1,1,633,2640,0,fish,AU,AU,LA,T,W,2000,1,0
2000721247,1,1,0,1,312,655,0,shell,VS,TH,SF,T,W,2000,1,0
2000721263,1,1,1,1,101,959,0,fish,BR,BR,LA,T,W,2000,1,0
2000721277,4,4,2,4,4467,4017,0,crustacean,PH,PH,LA,T,W,2000,1,0
2000721289,1,1,1,1,2,0,0,mammal,XX,IT,LA,non-standard value,W,2000,1,0
2000721296,2,2,2,2,890,16950,0,bird,US,MX,LA,T,C,2000,1,0
2000721299,1,1,1,1,129,456,0,fish,CR,CR,LA,T,W,2000,1,0
2000721312,2,2,2,2,83371,13695,0,crustacean,TH,TH,LA,T,W,2000,1,0
2000721343,1,1,1,1,16222,126531,0,shell,JP,HK,NW,T,W,2000,2,0
2000721360,1,1,1,1,26,838,0,bird,ZA,IT,NW,T,C,2000,2,0
2000721364,1,1,1,1,1,363,0,bird,ZA,IT,NW,non-standard value,W,2000,2,0
2000721366,1,1,1,1,816,4529,0,reptile,CN,HK,NW,T,W,2000,2,0
2000721382,3,2,2,2,3,2749,0,mammal,XX,GB,NW,non-standard value,P,2000,2,0
2000721383,2,1,1,1,2,3541,0,mammal,XX,GB,NW,non-standard value,P,2000,2,0
2000721387,2,1,2,2,3660,7137,0,shell,PH,PH,NW,T,W,2000,2,0
2000721398,1,1,1,1,12558,4335,0,fish,CG,CG,LA,T,W,2000,1,0
2000721399,1,1,1,1,22440,3293,0,fish,SG,SG,LA,T,W,2000,1,0
2000721407,1,1,1,1,1,50,0,reptile,AU,AU,LA,non-standard value,C,2000,1,0
2000721415,2,2,2,2,10310,1401,0,amphibian,HK,HK,LA,T,W,2000,1,0
2000721423,1,1,1,1,38816,4844,0,fish,TH,TH,LA,T,W,2000,1,0
